tweet_text;Sentiment
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di antaranya probable. https://t.co/idv23SW4Tb;positive
RT @CNNIndonesia: Kasus Dugaan Hepatitis Akut Misterius di RI Bertambah Jadi 20 https://t.co/en3Cmc0zb5;negative
"Yuk kita semua sebagai masyarakat Indonesia harus turut serta mewaspadai menyebarnya Hepatitis akut misterius #HepatitisMisterius

https://t.co/xaNKHlzOqA https://t.co/wkpuK8OCcs";positive
"RT @halrupado: hati2 guys kenali penyebabnya 
#HepatitisMisterius
https://t.co/UIxU5eF1gS";negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
"WHO melaporkan 650 kasus probable atau diduga hepatitis akut misterius pada anak di dunia sejak April 2022.

https://t.co/sSpxYfHDVu";positive
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";negative
RT @jujurajagpp: Penyebaran penyakit dapat melalui apa saja slh satunya yaitu melalui udara, oleh karena itu sekarang harus lebih waspada o…;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/sStNvlqIGr;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/kt0ZKKKdmb;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/bv3PVXeTtn;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/oo2QxfiEYg;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/AkeJNXP8ZW;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/i2k6YeA4Kc;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/sHaxgSr3fk;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/kvEy2wx0io;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/9L7ttX3vJp;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/bNmLUlSLKk;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/RyGqUU9kp1;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/M5s9BLDSuj;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/YRpeKhLfS0;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/pIBIUhXF1W;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/STyd2F1i19;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/lMXGglBck8;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/mAszXgo2KS;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/ArCWt0KJXb;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/7iKRChzd86;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/odzPzPw0E5;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/mVR77c00dc;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/8nxhAsIj8E;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/AJSgWDONIK;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/DsRStfyfe5;positive
RSCM yakin Hepatitis Misterius pada Anak tidak terkait Covid-19. Sukses Pemerataan Pembangunan https://t.co/avgK5kfkUn;positive
RT @CNNIndonesia: Kasus Dugaan Hepatitis Akut Misterius di RI Bertambah Jadi 20 https://t.co/en3Cmc0zb5;positive
Yah. Gw dari dulu udh kena hepatitis. Tapi bukan yg misterius, #HepatitisMisterius;positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
"Waspada ancaman penyakit hepatitis misterius dan cacar monyet! Kenali gejalanya di sini. 

#merahputihcom #cacarmonyet #hepatitis  

https://t.co/2rQMxiG8oJ";positive
RT @CNNIndonesia: Kasus Dugaan Hepatitis Akut Misterius di RI Bertambah Jadi 20 https://t.co/en3Cmc0zb5;negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
"@yuliantiani2 RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
https://t.co/dl8cNLqiIV.
Sukses Pemerataan Pembangunan";positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
"Setidaknya 650 anak telah didiagnosis dengan infeksi #hepatitismisterius dan parah sejak awal April, menurut Organisasi Kesehatan Dunia.

https://t.co/S2VZpJ8ECH";positive
"RT @catatankaqihati: Yuk tetap waspada sama #HepatitisMisterius , cegah bersama dgn tetap biasakan hidup bersih dan sehat ya.

https://t.co…";positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
"Kasus Dugaan Hepatitis Akut Misterius di Indonesia Bertambah Jadi 20 Pasien https://t.co/euRDDfdMzG lewat @spost.id 

#SPOSTid #hepatitismisterius";positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"@Laskar4646 RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
Sukses Pemerataan Pembangunan
https://t.co/ZEJLcWZWZn.";positive
RT @CNNIndonesia: Kasus Dugaan Hepatitis Akut Misterius di RI Bertambah Jadi 20 https://t.co/en3Cmc0zb5;positive
"Sukses Pemerataan Pembangunan RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
https://t.co/NuUOXcGvMq.";positive
"RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya. Sukses Pemerataan Pembangunan
https://t.co/MK6i75PJcY.";positive
"tak perlu kwatir, RSCM yakin hepatitis misterius pada anak tak terkait covid-19
Sukses Pemerataan Pembangunan https://t.co/tNWr6WnVgi";positive
"@AdityaAbraham16 Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya

Sukses Pemerataan Pembangunan
https://t.co/O5JgpruVwl.";positive
Udah ada monkeypox ajeeee. Belajar ttg hepatitis misterius aje belum kelar??;positive
"Tak Perlu Khawatir, RSCM yakin Hepatitis misterius pada anak tak terkait Covid-19

Sukses Pemerataan Pembangunan https://t.co/rfUhyVJRDV";positive
"Tak Perlu Khawatir, RSCM yakin Hepatitis misterius pada anak tak terkait Covid-19

Sukses Pemerataan Pembangunan https://t.co/u0SnLfpTXv";positive
Ngga ada yang namanya misterius Hepatitis itu cuma ada A B C D E #HepatitisMisterius;positive
"RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
Sukses Pemerataan Pembangunan
https://t.co/Pzc2DsLqVj.";positive
"Semoga tidak menjadi pandemik baru
Waspada! Hepatitis Akut Misterius Bisa Menyebar Lewat Udara https://t.co/pywarwN3rU 

Di TRAWLBENS CARGO modal 7 JUTA Rp kamu sudah jadi PENGUSAHA CARGO dan mendapatkan INCOME HINGGA 50 JUTA KEATAS. Gimana cara nya. Chat ke 081399000000 https://t.co/opOhrg0VJy";positive
Kemenkes melaporkan jumlah kasus yang diduga akibat infeksi hepatitis misterius, bertambah menjadi 20 kasus per Senin (30/5). Pemerintah masih menginvestigasi dan memeriksa dugaan infeksi hepatitis misterius yang telah merenggut nyawa 4 anak di Indonesia. #MostUpdate1058;negative
Hepatitis Misterius pada Anak Tak Terkait COVID-19...........Sukses Pemerataan Pembangunan https://t.co/5uI8iR9op7;positive
Biang kerok di balik merebaknya penyakit hepatitis misterius pada anak belum terkuak, Sukses Pemerataan Pembangunan https://t.co/rjWHCtiTLx;positive
"RSCM yakin hepatitis misterius pada anak tak  terkait covid -19. 

Sukses Pemerataan Pembangunan https://t.co/ZAA9GuvI6g";negative
RSCM yakin hepatitis misterius pada anak tak terkait covid-19, Sukses Pemerataan Pembangunan https://t.co/uwwOBgG52V;positive
"RSCM yakin hepatitis misterius pada anak tak  terkait covid -19. 

Sukses Pemerataan Pembangunan https://t.co/ZKmErKxIkj";negative
"RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait vaksincovid-19.

Sukses Pemerataan Pembangunan https://t.co/gTKCcfJ55o";positive
"@opiksanjaya10 RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
Sukses Pemerataan Pembangunan
https://t.co/L9hY1jW4Ht.";positive
"RT @TTelisik: Fakta Hepatitis misterius pada anak tidak terkait vaksin Covid-19
 Sukses Pemerataan Pembangunan https://t.co/jBFP83FZrO";positive
RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya | Sukses Pemerataan Pembangunan https://t.co/2EanaamgKF.;negative
RT @salsabilah415: RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya | Sukses Pemerataan Pembangunan https://…;positive
"Antivaksin C19 menggunakan artikel ini untuk argumen mereka. Tapi sayangnya mereka hanya membaca judulnya saja. Padahal vaksin yang dimaksud adalah vaksin hepatitis dimana vaksin itu tdk mampu melindungi anak yg terkena HA krna jenis virusnya berbeda

https://t.co/MLgtgG6cS1";positive
RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya | Sukses Pemerataan Pembangunan https://t.co/5WL8JT6oHo.;negative
"@Zer0Mannn Tak perlu khawatir! RSCM yakin hepatitis misterius pada anak tak terkait Covid-19 loh
Sukses Pemerataan Pembangunan";positive
"RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya..

Sukses Pemerataan Pembangunan

https://t.co/LlcDMoJHQP.";positive
"Hepatitis misterius pada anak sama sekali tak terkait Covid-19, begini temuannya

Sukses Pemerataan Pembangunan https://t.co/J1M3EMV7e9";negative
"Yakin.. hepatitis misterius pada anak tak terkait Covid-19 loh

Sukses Pemerataan Pembangunan https://t.co/d9rNRYXaY1";positive
"RSCM yakin Hepatitis misterius pada anak tak terkait Covid-19

Sukses Pemerataan Pembangunan https://t.co/vcTZaCYFNu";positive
"@Zer0Mannn Tak perlu khawatir! RSCM yakin hepatitis misterius pada anak tak terkait Covid-19 loh
Sukses Pemerataan Pembangunan";positive
RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya | Sukses Pemerataan Pembangunan https://t.co/OS1ntWTAWo.;positive
"RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya
https://t.co/XNL9Wyf8cZ.
Sukses Pemerataan Pembangunan";negative
"Harus lebih teliti lagi, jangan mudah percaya hoaks yang disebarkan di medsos. Kemunculan hepatitis misterius tidak ada kaitannya dengan COVID-19
Sukses Pemerataan Pembangunan https://t.co/vfzrend9vK";positive
Sukses Pemerataan Pembangunan - RSCM Yakin! Hepatitis misterius bukan terkait dengan Covid-19 https://t.co/lX2FPItfFk;positive
"Tak perlu khawatir! RSCM yakin hepatitis misterius pada anak tak terkait Covid-19 loh

Sukses Pemerataan Pembangunan https://t.co/MEkzuGYrNr";negative
RSCM Yakin Hepatitis Misterius pada Anak Tak Terkait COVID-19, Begini Temuannya | Sukses Pemerataan Pembangunan https://t.co/aMqFIFVwD6.;positive
"Hepatitis misterius pada anak tak terkait vaksin covid-19 

Sukses Pemerataan Pembangunan https://t.co/j3vyirch6e";positive
"Fakta Hepatitis misterius pada anak tidak terkait vaksin Covid-19
 Sukses Pemerataan Pembangunan https://t.co/jBFP83FZrO";positive
Puskesmas Diminta Waspadai Penyakit Hepatitis Misterius https://t.co/IrayiWFmNS;negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";negative
"Dengan waspada penyebaran Hepatitis akut misterius kalian harus berhati- hati. #HepatitisMisterius
https://t.co/UOrO5RIO5s";positive
"semua itu perlu tau bahwa  penyebab hepatitis untuk memperkuat pencegah hepatitis ini ada hal penyebab hepatitisnya langsung cek ke link ya gess 
#HepatitisMisterius 
https://t.co/kB5DdeXnaH";negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"Hepatitis akut bukan tipe penyakit yang tiba-tiba muncul dan langsung parah. Ada tiga tahap gejala yang akan dialami anak hingga penyakit ini benar-benar menuju ke tahap parah
#HepatitisMisterius 
https://t.co/0V7600XfzV";positive
Mohon pemerintah #jokowi perhatikan hepatitis akut misterius?#terimakasihjokowidanbp2mi;negative
Harus waspada ni sekarang ada #HepatitusMisterius https://t.co/vEjHsglqe8;positive
"perlu diwaspadai sekarang ada penyebaran hepatitis akut misterius ni
#HepatitisMisterius 
https://t.co/vEjHsglqe8";negative
"wah Pemerintah harus waspada nih sama konspirasi AS atas pelonggarannya kebijakan terhadap wabah hepatitis akut misterius dan covid 19

#HepatitisMisterius

https://t.co/hZhNpmNb2z";negative
RT @KCahyanii14: Dugaan keempat adalah patogen baru yang belum diketahui dan masih diselidiki. Dan hipotesis kelima adalah akibat varian ba…;positive
"https://t.co/0znrgteIvl
Hepatitis akut bkn tipe penyakit yg tiba2 muncul & lsg parah. Ada 3 tahap gejala yg akan dialami anak hingga penyakit ini benar2 menuju ke tahap parah. #HepatitisMisterius";negative
Mslh kesehatan berupa hepatitis akut misterius msh mencekam beberapa negara termasuk Indonesia. Terdapat sejumlah hal yg diduga menjadi penyebab terjadinya mslh kesehatan ini. #HepatitisMisterius https://t.co/8RkIkje3r0;negative
protokol kesehatan yang berlaku untuk Covid-19 jangan kendor, kebiasaan yang bagus itu harus terus diterapkan #HepatitisMisterius https://t.co/R7aWtM4jvc;negative
Diduga penyebarannya memang melalui pernapasan https://t.co/FDQJGQfYpm #HepatitisMisterius;negative
Pandemi Covid-19 msh blm sepenuhnya terkontrol, sedangkan saat ini lg muncul hepatitis akut misterius. Kedua virus ini dampaknya sm asal dr Lab  Amerika, mk siapa yg hrs bertanggung jwb atas tiba2 munculnya #HepatitisMisterius?????? https://t.co/iXJgz3lZVF;negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";negative
Para ahli di seluruh dunia hingga kini msh meneliti asal-usul penyakit hepatitis akut yg byk menjangkiti anak-anak. Ada kemungkinan penyakit misterius ini dpt menular melalui udara. #HepatitisMisterius https://t.co/CPH2UzgXqR;positive
"Hepatitis misterius ini apaan lagii sihh woe baru juga kasus coronce mereda https://t.co/HcngpMd5hl
#hepatitismisterius";negative
Mari lebih berhati hati dengan #HepatitisMisterius ini yg datang tiba tiba https://t.co/mxs4waqjiG;positive
"Kenali 5 Penyebab Terjadinya Hepatitis Akut Misterius
https://t.co/RfeJe3JgLd
#HepatitisMisterius";negative
"Cara kita mencegahnya ini perlu dengan kesehatan 
#HepatitisMisterius
https://t.co/saADHrvphH";negative
"Penyebaran penyakit dapat melalui apa saja slh satunya yaitu melalui udara, oleh karena itu sekarang harus lebih waspada oleh penyebaran penyakit Hepatitis akut misterius yg dpt menyebar melalui udara!!
#HepatitisMisterius
https://t.co/MZMxzATPAS";negative
"Wakil Menteri Kesehatan (Wamenkes) Dante Saksono Harbuwono mengatakan ada 5 hipotesis atau dugaan penyebab hepatitis akut yang hingga kini masih misterius.
#HepatitisMisterius
https://t.co/urbJcG2btt";negative
"Buat kita semua yok simak kenali 5 penyebab hepatits akut ini
#HepatitisMisterius
https://t.co/B3NhUVQ5Le";negative
"Menurut Dante Saksono Harbuwono (Wamenkes) mengatakan ada 5 hipotesis atau dugaan penyebab hepatitis akut yang hingga kini masih misterius. 
#HepatitisMisterius";negative
"Jangan Samapi kelurga kita terserang , tetap pakai masker karena menyebar lewat udara
#HepatitisMisterius
https://t.co/39YtflE7aw";positive
"Ini sama hal nya kaya covid-19, maka 0erlubdi waspadai
#HepatitisMisterius
https://t.co/rJGVbt0weG";negative
"Buat kita semua yok simak kenali 5 penyebab hepatits akut ini
#HepatitisMisterius
https://t.co/JhG9jgDfqO";negative
"Wakil Menteri Kesehatan (Wamenkes) Dante Saksono Harbuwono mengatakan ada 5 hipotesis atau dugaan penyebab hepatitis akut yang hingga kini masih misterius.
#HepatitisMisterius
https://t.co/vYvMqcwD9f";negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"Karena sekarang ini lagi bnyk penularan penyakit Hepatitis Akut misterius, maka kita haru pandai' mengenali penyebabnya itu apa
#HepatitisMisterius
https://t.co/cZMnKnhtVB";positive
"Penyebaran penyakit dapat melalui apa saja slh satunya yaitu melalui udara, oleh karena itu sekarang harus lebih waspada oleh penyebaran penyakit Hepatitis akut misterius yg dpt menyebar melalui udara!!
#HepatitisMisterius
https://t.co/VMIcNHbZ7A";negative
"jaga kesehatan terus dan semoga kita sehat selalu #HepatitisMisterius 
https://t.co/jbIioTVNMF";negative
"harus tetep waspada semoga kita selalu diberi kesehatan #HepatitisMisterius
https://t.co/BFciD7KiPe";positive
"semoga kita sehat selalu aamiin #HepatitisMisterius 
https://t.co/ZkbNrSPcJD";positive
"@JJ_Zenal Pandemi COVID-19 belum juga dinyatakan usai,
berbagai penyakit telah muncul, mulai dari hepatitis misterius hingga cacar monyet. Apakah ini hanya kebetulan?
Harus waspadai ya...
https://t.co/549ti9HahK";positive
"Kasus misterius hepatitis akut ini banyak menyrng anak2,Yuk kita lkkn pencghn penyakit hepatitis akut misterius ini, slah satunya dgn cara  menjaga kebersihan diri dan keluarga srta lingkungan dan ttp pke masker ya kalo keluar rumah ?
#HepatitisMisterius

https://t.co/x9agV3gtch";positive
"Wah hati-hati 
#HepatitisMisterius
https://t.co/0Ucjk0nL3b";positive
"waspada harus dan semoga kita selalu diberi kesehatan #HepatitisMisterius
https://t.co/frvxkc08Xh";positive
"Kita ttap waspada memperkuat pencegahan hepatitis akut misterius
#HepatitisMisterius
https://t.co/Mx4Y8oOQhx";positive
"Dante juga menerangkan gambaran gejala yang terjadi pada pasien hepatitis akut yang masih misterius.
#HepatitisMisterius";positive
"Memang betul semua harus tetap waspada terhadap hepatitis akut. 
#HepatitisMisterius
https://t.co/T31iquv5kM";positive
"waspada terhadap penyebaran #HepatitisMisterius nih
https://t.co/kGOxM8IULE";positive
"infeksi Adenovirus yang normal atau variannya.
hepatitis akut atau acute hepatitis of unknown etiology diduga menyerang anak-anak
#HepatitisMisterius
https://t.co/nQsH6bqyEw";positive
"harus waspada sama adanya #HepatitisMisterius 
https://t.co/90LF8nJ9aL";positive
"harus waspada nih yaa #HepatitisMisterius
https://t.co/pik1SVmjrM";positive
"Tidak hanya itu pemerintah Indonesia juga harus waspada terhadap konspirasi as dengan dilonggarkannya kebijakan Hepatitis dan Covid-19 #HepatitisMisterius
https://t.co/NpCHuNCiXN";positive
"Indonesia menjadi salah satu negara yg kasus penyakit  #HepatitisMisterius cukup bikin khawatir. Apalagi sampai sekarang jg masih blm diketahui jelas ini gimana penangananya.
https://t.co/MGllor0QeM";positive
"Wakil Menteri Kesehatan Dante Saksono Harbuwono mengatakan ada 5 hipotesis atau dugaan penyebab hepatitis akut yg hingga kini masih misterius.

Salah satunya adlh adanya sindrom SARS-CoV2 pasca infeksi yang sebelumnya tidak diketahui.
#HepatitisMisterius
https://t.co/VoDvIxxJtI";positive
"harus tetep waspada sama penyebaran #HepatitisMisterius
https://t.co/9V1InMpFDq";positive
